Year,Crude Birth Rate-Total,Crude Birth Rate-Rural,Crude Birth Rate-Urban
1981,33.9,35.6,27
1982,33.8,35.5,27.6
1983,33.7,35.3,28.3
1984,33.9,35.3,29.4
1985,32.9,34.3,28.1
1986,32.6,34.2,27.1
1987,32.2,33.7,27.4
1988,31.5,33.1,26.3
1989,30.6,32.2,25.2
1990,30.2,31.7,24.7
1991,29.5,30.9,24.3
1992,29.2,30.9,23.1
1993,28.7,30.4,23.7
1994,28.7,30.5,23.1
1995,28.3,30,22.7
1996,27.5,29.3,21.6
1997,27.2,28.9,21.5
1998,26.5,28,21.1
1999,26,27.5,20.8
2000,25.8,27.6,20.7
2001,25.4,27.1,20.3
2002,25,26.6,20
2003,24.8,26.4,19.8
2004,24.1,25.9,19
2005,23.8,25.6,19.1
2006,23.5,25.2,18.8
2007,23.1,24.7,18.6
2008,22.8,24.4,18.5
2009,22.5,24.1,18.3
2010,22.1,23.7,18
2011,21.8,23.3,17.6
2012,21.6,23.1,17.4
