Year,Cow Milk,Buffalo Milk,Goat Milk,Total
2000-01,32957,43428,3266,79651
2001-02,34516,45402,3501,83419
2002-03,34612,46512,3636,84760
2003-04,34973,47979,3708,86660
2004-05,37344,50178,3537,91059
2005-06,39759,52070,3790,95619
2006-07,41148,54382,3818,99348
2007-08,46822,56630,4481,107933
2008-09,49810,57895,4478,112183
2009-10,52200,59758,4467,116425
2010-11,54903,62350,4594,121847
2011-12,57770,65352,4782,127904
2013-14,62195,70443,5048,137686
2014-15,66423,74710,5180,146314
2015-16,73646,76459,5378,155482
