YEAR,D.P.T.Immunisation for Children - Target/ Need asessed,D.P.T.Immunisation for Children - Achvt.,D.P.T.Immunisation for Children - % Achvt.,POLIO - Target/ Need asessed,POLIO - Achvt.,POLIO - % Achvt.,B.C.G. - Target/ Need asessed,B.C.G. - Achvt.,B.C.G. - % Achvt.,Measles - Target/ Need asessed,Measles - Achvt.,Measles - % Achvt.,DT/D.P.T.5 Immunisation for Children - Target/ Need asessed,DT/D.P.T.5 Immunisation for Children - Achvt.,DT/D.P.T.5 Immunisation for Children - % Achvt.,T.T. (10 Years) - Target/ Need asessed,T.T. (10 Years) - Achvt.,T.T. (10 Years) - % Achvt.,T.T. (16 Years) - Target/ Need asessed,T.T. (16 Years) - Achvt.,T.T. (16 Years) - % Achvt.,Prophylaxis against Blindness due to Vitamin A Deficiency 1st Dose - Target/ Need asessed,Prophylaxis against Blindness due to Vitamin A Deficiency 1st Dose - Achvt.,Prophylaxis against Blindness due to Vitamin A Deficiency 1st Dose - % Achvt.,Prophylaxis against Blindness due to Vitamin A Deficiency 5th Dose - Target/ Need asessed,Prophylaxis against Blindness due to Vitamin A Deficiency 5th Dose - Achvt.,Prophylaxis against Blindness due to Vitamin A Deficiency 5th Dose - % Achvt.,Prophylaxis against Blindness due to Vitamin A Deficiency 9th Dose(Booster) - Target/ Need asessed,Prophylaxis against Blindness due to Vitamin A Deficiency 9th Dose(Booster) - Achvt.,Prophylaxis against Blindness due to Vitamin A Deficiency 9th Dose(Booster) - % Achvt.
1980-81,13.55,7.15,52.8,3.83,1.61,42.2,NA,NA,NA,NA,NA,NA,11.4,10.2,90.1,NA,NA,NA,NA,NA,NA,24.2,16.6,68.8,NA,NA,NA,NA,NA,NA
1981-82,15.97,9.23,57.9,2.4,2.93,123.8,NA,NA,NA,NA,NA,NA,12.6,10.8,86.1,NA,NA,NA,NA,NA,NA,24.7,18.7,75.7,NA,NA,NA,NA,NA,NA
1982-83,13.97,10.34,74,5.24,4.55,87,15,4.12,27.5,NA,NA,NA,12.5,10.3,82,NA,NA,NA,NA,NA,NA,25,19.1,76.7,NA,NA,NA,NA,NA,NA
1983-84,14.5,11.23,77.5,7.5,8.03,107.1,15,4.47,29.8,NA,NA,NA,13,10.6,81.7,4,2.8,83.7,2.6,1.7,80.7,25,19.2,76.8,NA,NA,NA,NA,NA,NA
1984-85,14.51,12.43,85.7,12,9.89,82.4,14.51,5.36,37,NA,NA,NA,13.1,11.5,87.6,5,3.6,72.8,3,2.4,79.2,27,28.8,106.6,NA,NA,NA,NA,NA,NA
1985-86,14.04,15.18,108.1,14.04,13.19,93.9,14.04,6.62,47.3,NA,NA,NA,11.2,12.5,112,5.5,4.5,82,3.3,3,90.9,25,29.4,177.8,NA,NA,NA,NA,NA,NA
1986-87,15.3,12.99,84.9,15.3,11.14,72.8,15.3,11.81,77.2,5.7,3.7,67.6,12.1,10.9,89.7,6.7,5.3,79,4.1,3.5,85,29,30.2,78.1,NA,NA,NA,NA,NA,NA
1987-88,17.21,16.69,97,17.21,14.27,82.9,17.21,16.35,95,11.2,10.1,89.7,13,11.6,89.1,7.8,7,89.7,4.8,4.5,93.7,30,46.6,87.8,NA,NA,NA,NA,NA,NA
1988-89,18.04,16.81,93.2,18.04,15.9,88.1,18.04,17.44,96.6,15.8,12.4,78.9,18.9,13,68.6,9.8,8.3,85,6,5.7,94.2,30,41.6,75.4,NA,NA,NA,NA,NA,NA
1989-90,19.14,19.19,100.2,19.14,19.04,99.5,19.14,20.38,106.5,19.1,15.9,83.3,18.8,14.2,75.5,18.1,10.6,58.6,17.2,7.9,46,29.9,39,69,NA,NA,NA,NA,NA,NA
1990-91,22.34,22.5,100.7,22.34,22.68,101.5,22.34,23.01,103,22.3,20.3,90.9,17.1,13.9,81.4,15.5,11,71.3,15.4,8.3,53.9,30,38.8,65,NA,NA,NA,NA,NA,NA
1991-92,23.33,21.21,90.9,23.33,21.3,91.3,23.33,21.67,92.9,23.3,19.8,85,17.7,13.8,77.8,16,10.9,68.2,16,8.5,52.8,39,41.6,53.3,NA,NA,NA,NA,NA,NA
1992-93,24.29,22,90.6,24.29,22.12,91,24.29,23.46,96.6,24.3,20.9,85.9,18.2,14.1,77.8,16.3,11.3,69.4,16.4,8.7,53.4,24.3,31.2,64.1,NA,NA,NA,NA,NA,NA
1993-94,24.79,23.09,93.2,24.79,23.21,93.6,24.79,24.09,97.2,24.8,22,88.5,18.5,13.4,72.4,16.7,11.7,70.3,16.7,9.2,55.3,24.8,38.4,77.5,NA,NA,NA,NA,NA,NA
1994-95,24.77,23.4,94.5,24.77,23.58,95.2,24.77,24.7,99.8,24.8,21.6,87.2,21.5,14.6,67.9,20.3,11.9,58.7,18.2,9.3,51.1,24.8,42.7,86.2,NA,NA,NA,NA,NA,NA
1995-96,24.86,22.56,90.7,24.86,22.78,91.6,24.86,24.13,97.1,24.9,20.5,82.6,21.8,10.5,48.1,20.7,9.7,46.8,18.7,7.6,40.5,24.9,16.2,65.3,22.5,31.3,36.7,NA,NA,NA
1996-97,25.4,23.25,91.5,25.4,23.55,92.7,25.4,24.95,98.2,25.4,21.1,83.2,22.2,13.8,62.1,21.1,12.2,57.7,19,9.4,49.5,25.4,15.6,74.3,22.8,31.4,44.5,NA,NA,NA
