Entry|Year|Total Investment|Capital at Charge|Gross Traffic Receipts|Misc. Receipts|Total Revenue Receipts|Total Working Expenses|Misc. Expd.|Total Revenue Expd.|Net Revenue Receipts|Payment to General Revenue|Surplus/Deficit|Operating Ratio|Ratio of Net Revenue to Capital at Charge|Expenditure on Works against Development Fund
-1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0
1|1950.0|None|827.0|263.0|0.3|263.3|210.5|5.2|215.7|47.6|32.5|15.1|81.0|5.75|5.35
2|1955.0|1102.1|969.0|316.3|0.4|316.3|258.2|7.8|266.0|50.3|36.1|14.2|81.93|5.2|12.14
3|1960.0|1868.6|1520.9|456.8|3.6|460.4|358.2|14.3|372.5|87.9|55.9|32.0|78.75|5.77|24.3
4|1961.0|2055.8|1683.0|500.5|2.7|503.2|390.5|12.9|403.4|99.8|75.4|24.4|78.07|5.92|21.67
5|1962.0|2318.6|1896.8|566.8|0.9|567.7|429.5|14.9|444.4|123.3|81.2|42.1|75.71|6.5|23.17
6|1963.0|2634.2|2159.6|632.2|0.7|632.9|472.3|15.4|487.7|145.2|96.0|49.2|74.85|6.72|29.94
7|1964.0|2960.0|2435.1|660.8|0.2|661.0|528.1|14.8|542.9|118.1|104.9|13.2|79.73|4.85|28.25
8|1965.0|3255.5|2680.3|733.5|0.2|733.7|583.0|15.9|598.9|134.8|116.2|18.6|78.3|5.03|28.91
9|1966.0|3463.6|2841.6|768.8|0.2|769.0|639.3|15.6|654.9|114.1|132.4|-18.3|82.71|4.02|27.95
10|1967.0|3639.2|2978.0|818.2|0.2|818.4|693.3|15.1|708.4|110.0|141.5|-31.5|84.55|3.69|19.39
11|1968.0|3797.2|3101.3|898.8|0.2|899.0|741.9|14.3|756.2|142.8|150.7|-7.9|82.59|4.6|17.39
12|1969.0|3927.9|3195.5|951.3|0.3|951.6|790.0|15.0|805.0|146.6|156.4|-9.8|82.67|4.59|18.6
13|1970.0|4099.4|3330.3|1006.7|0.2|1006.9|847.3|14.9|862.2|144.7|164.5|-19.8|84.13|4.35|20.69
14|1971.0|4333.5|3519.4|1096.6|0.4|1097.0|911.9|16.0|927.9|169.1|151.3|17.8|83.11|4.8|24.34
15|1972.0|4581.7|3726.0|1162.4|0.3|1162.7|928.6|15.7|998.3|164.4|161.5|2.9|84.47|4.41|25.2
16|1973.0|4791.4|3893.4|1137.9|0.3|1138.2|1066.3|16.5|1082.8|55.4|170.9|-115.5|93.39|1.42|24.08
17|1974.0|5050.3|4105.6|1408.2|7.3|1415.2|1317.3|24.3|1341.6|73.6|187.4|-113.8|92.41|1.79|22.17
18|1975.0|5345.0|4254.8|1767.0|8.5|1775.5|1609.6|28.9|1638.5|137.0|198.1|-61.1|89.32|3.15|23.65
19|1976.0|5572.4|4533.7|2036.1|9.6|2045.7|1718.6|30.8|1749.4|296.3|209.1|87.2|84.41|6.54|25.86
20|1977.0|5896.0|4797.1|2123.4|10.4|2133.8|1750.1|30.9|1781.0|352.8|226.6|126.2|82.99|7.35|34.61
21|1978.0|6185.7|5023.9|2151.0|10.3|2161.3|1867.6|32.9|1900.5|260.8|224.1|36.7|87.51|5.19|34.68
22|1979.0|6728.1|5484.6|2337.8|66.6|2404.4|2142.4|34.7|2177.1|227.3|293.5|-66.2|91.49|4.14|37.07
23|1980.0|7448.4|6096.3|2624.0|79.5|2703.5|2536.5|39.5|2576.0|127.5|325.4|-197.9|96.07|2.09|41.01
24|1981.0|8164.3|6698.1|3538.3|89.5|3627.8|3182.0|42.7|3224.7|403.1|356.5|46.6|89.4|6.02|39.07
25|1982.0|8882.2|7251.1|4376.2|107.1|4483.3|3883.3|45.7|3929.0|554.3|436.0|118.3|88.34|7.64|46.49
26|1983.0|9401.4|7567.8|4986.3|102.8|5089.1|4661.5|48.6|4710.1|379.0|423.7|-44.7|93.52|5.01|48.88
27|1984.0|10377.3|8582.6|5358.8|110.3|5469.1|5142.2|56.8|5199.0|370.1|465.7|-95.6|96.25|3.26|58.99
28|1985.0|11492.0|9078.8|6428.8|162.6|6590.7|5823.1|81.7|5904.8|685.9|507.1|178.8|90.58|7.56|66.49
29|1986.0|13306.9|10373.1|7505.7|177.4|7683.8|6900.6|101.7|7002.3|680.8|578.8|102.0|92.2|6.56|113.96
30|1987.0|15177.5|11622.2|8435.3|244.2|8679.5|7802.9|153.4|7956.3|723.1|638.8|84.3|92.47|6.22|138.08
