Entry|Year|ALL INDIA|Andhra Pradesh|Assam|Bihar|Chhatisgarh|Gujarat|Haryana|Jharkhand|Karnataka|Kerala|Madhya Pradesh|Maharashtra|Odisha|Punjab|Rajasthan|Tamil Nadu|Uttar Pradesh|W. Bengal|Arunachal Pradesh|Delhi|Goa|Himachal Pradesh|Jammu and Kashmir|Manipur|Meghalaya|Mizoram|Nagaland|Sikkim|Tripura|Uttarakhand|Andaman and Nicobar Islands|Chandigarh|Dadra and Nagar Haveli|Daman and Diu|Lakshadweep|Puducherry
-1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
1|1971.0|36.9|34.8|38.5|32.8|None|40.0|42.1|None|31.7|31.1|39.1|32.2|34.6|34.2|42.4|31.4|44.9|None|None|33.6|26.2|37.3|32.9|33.3|None|None|None|None|35.8|None|31.9|None|None|None|None|29.0
2|1972.0|36.6|35.8|36.4|33.1|None|40.2|40.5|None|31.5|31.2|39.3|32.2|34.5|34.6|42.4|32.4|43.2|None|None|30.3|25.0|33.1|31.6|31.2|None|None|None|None|32.9|None|39.9|40.0|None|None|None|31.0
3|1973.0|34.6|31.6|33.3|31.4|None|35.4|39.4|None|28.9|29.2|37.4|28.8|34.8|33.4|38.1|30.0|41.7|None|None|29.5|24.9|37.6|32.5|28.7|None|None|None|None|32.6|None|30.7|34.3|None|None|None|27.4
4|1974.0|34.5|34.6|32.8|28.7|None|38.4|39.5|None|28.0|26.8|36.6|29.0|33.6|32.0|36.3|29.2|42.1|28.0|None|31.2|24.1|34.9|29.2|25.0|None|None|None|None|32.2|None|34.7|36.6|None|None|None|27.0
5|1975.0|35.2|34.9|30.1|27.7|None|37.0|38.0|None|27.7|28.0|40.3|29.7|33.6|31.8|36.9|30.7|43.1|28.7|None|27.0|23.4|32.7|31.9|24.5|None|None|None|None|29.2|None|36.7|36.4|None|None|None|28.4
6|1976.0|34.4|33.7|32.8|31.1|None|37.4|36.3|None|29.4|27.8|39.8|29.3|34.8|31.6|33.4|30.7|40.0|31.9|32.5|28.6|24.4|32.5|32.1|25.3|33.5|None|20.3|None|34.7|None|39.0|31.2|42.1|24.4|35.2|31.1
7|1977.0|33.0|32.2|30.1|30.1|None|36.1|34.6|None|26.3|25.8|38.3|26.2|29.9|31.0|33.8|29.8|40.3|32.1|None|27.3|19.9|32.5|31.6|26.6|32.5|None|None|None|28.2|None|37.0|30.0|None|None|None|29.0
8|1978.0|33.3|33.6|30.8|31.2|None|35.8|33.5|None|29.2|25.2|37.2|26.9|32.9|29.4|35.5|28.8|40.4|28.4|None|25.7|21.0|27.3|31.8|32.2|32.0|None|None|None|28.8|None|33.1|26.5|None|None|None|27.4
9|1979.0|33.1|31.9|32.4|38.4|None|35.7|36.4|None|28.9|26.1|37.8|27.1|32.4|29.3|35.2|28.1|39.6|None|None|26.7|19.6|31.8|31.1|28.6|33.2|None|None|None|28.4|None|32.6|26.6|None|None|None|26.7
