_1998    _1999    india_states_uts    _1997    _1996    _1995    _1994    _1993    _1992    _1991    _1990    _2000    _2001    _2002    _2003    _2004    _2005    _2006    _2007    _2008    _2009    _1975    _1974    _1977    _1976    _1971    _1973    _1972    _1979    _1978    _1988    _1989    _1980    _1981    _1982    _1983    _1984    _1985    _1986    _1987    _2011    _2010    _2012_    
72    70    ALL INDIA    71    72    74    74    74    79    80    80    68    66    63    60    58    58    57    55    53    50    140    126    130    129    129    134    139    120    127    94    91    114    110    105    105    104    97    96    95    44    47    42    
66    66    Andhra Pradesh    63    65    67    65    64    71    73    70    65    66    62    59    59    57    56    54    52    49    123    111    125    122    106    105    116    106    117    83    81    92    86    79    77    78    83    82    79    43    46    41    
76    76    Assam    76    74    77    78    81    76    81    76    75    74    70    67    66    68    67    66    64    61    144    136    115    124    139    136    136    104    118    99    91    103    106    102    94    99    111    109    102    55    58    55    
67    63    Bihar    71    71    73    67    70    73    69    75    62    62    61    60    61    61    60    58    56    52    NA    NA    NA    NA    NA    NA    NA    NA    NA    97    91    NA    118    112    99    95    106    101    101    44    48    43    
94    78    Chhattisgarh    89    NA    NA    NA    NA    NA    NA    NA    79    77    73    70    60    63    61    59    57    54    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    48    51    47    
64    63    Gujarat    62    61    62    64    58    67    69    72    62    60    60    57    53    54    53    52    50    48    154    106    138    146    144    161    128    123    122    90    86    113    116    111    106    106    98    107    97    41    44    38    
70    68    Haryana    68    68    69    70    66    75    68    69    67    66    62    59    61    60    57    55    54    51    114    102    113    112    72    104    94    100    109    90    82    103    101    93    91    101    85    85    87    44    48    42    
62    71    Jharkhand    68    NA    NA    NA    NA    NA    NA    NA    70    62    51    51    49    50    49    48    46    44    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    39    42    38    
58    58    Karnataka    53    53    62    67    67    73    77    70    57    58    55    52    49    50    48    47    45    41    80    86    83    89    95    90    95    83    82    74    80    71    69    65    71    74    69    73    75    35    38    32    
16    14    Kerala    12    14    15    16    13    17    16    17    14    11    10    11    12    14    15    13    12    12    54    54    47    56    58    58    63    43    42    28    21    40    37    30    33    29    31    27    28    12    13    12    
